STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,CLDD,Missing,Consecutive Missing,HTDD,Missing,Consecutive Missing,DT90,Missing,Consecutive Missing,DX32,Missing,Consecutive Missing,DT00,Missing,Consecutive Missing,DT32,Missing,Consecutive Missing,DP01,Missing,Consecutive Missing,DP05,Missing,Consecutive Missing,DP10,Missing,Consecutive Missing,EMXP,Missing,Consecutive Missing,MXSD,Missing,Consecutive Missing,TPCP,Missing,Consecutive Missing,TSNW,Missing,Consecutive Missing,EMXT,Missing,Consecutive Missing,EMNT,Missing,Consecutive Missing,MMXT,Missing,Consecutive Missing,MMNT,Missing,Consecutive Missing,MNTM,Missing,Consecutive Missing
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19440801,380,0,0,2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,2,0,0,1.20,0,0,-9999,0,0,4.61,0,0,-9999,0,0,105.1,0,0,48.9,0,0,90.1,0,0,64.2,0,0,77.2,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19440901,124,0,0,85,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.17,0,0,-9999,0,0,0.39,0,0,-9999,0,0,99.0,0,0,35.1,0,0,81.0,0,0,51.6,0,0,66.2,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19441001,1,0,0,289,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,2,0,0,0,0,0,0.57,0,0,-9999,0,0,1.23,0,0,-9999,0,0,82.9,0,0,28.9,0,0,70.0,0,0,41.4,0,0,55.6,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19450401,6,0,0,504,0,0,0,0,0,1,0,0,0,0,0,12,0,0,11,0,0,2,0,0,0,0,0,0.59,0,0,0,3,3,3.56,0,0,5.5,0,0,87.1,0,0,18.0,0,0,61.2,0,0,35.6,0,0,48.4,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19450501,47,0,0,237,0,0,2,0,0,0,0,0,0,0,0,2,0,0,5,0,0,2,0,0,1,0,0,1.98,0,0,-9999,0,0,3.41,0,0,0.0,0,0,96.1,0,0,28.0,0,0,71.8,0,0,45.1,0,0,58.6,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19450601,103,0,0,105,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,1,0,0,1.90,0,0,-9999,0,0,4.66,0,0,-9999,0,0,93.0,0,0,44.1,0,0,76.1,0,0,53.6,0,0,64.9,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19450701,389,0,0,1,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.48,0,0,-9999,0,0,1.66,0,0,-9999,0,0,105.1,0,0,55.0,0,0,90.0,0,0,64.9,0,0,77.5,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19450801,443,0,0,4,0,0,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1.70,0,0,-9999,0,0,1.82,0,0,0.0,0,0,108.0,0,0,54.0,0,0,93.2,0,0,65.1,0,0,79.2,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19450901,219,0,0,116,0,0,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.34,0,0,0,14,11,1.10,0,0,0.0,0,0,106.0,0,0,33.1,0,0,84.0,0,0,52.7,0,0,68.4,0,0
GHCND:USC00143537,HAYS 2 S KS US,612,38.85,-99.35,19451001,5,0,0,283,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0.24,0,0,-9999,0,0,0.36,0,0,0.0,0,0,91.9,0,0,19.0,0,0,71.4,0,0,40.6,0,0,55.9,0,0
