"","years","months","Site","ppt","tmean"
"81",1987,9,"Haynes",0.270000010728836,15.0499992370605
"82",1987,10,"Haynes",0.200000002980232,8.67000007629395
"83",1987,11,"Haynes",12.8400001525879,1.16499996185303
"84",1987,12,"Haynes",27.9099998474121,-5.14999961853027
"85",1988,1,"Haynes",20.6800003051758,-7.46000003814697
"86",1988,2,"Haynes",16.4400005340576,-2.18999981880188
"87",1988,3,"Haynes",18.2800006866455,0.565000057220459
"88",1988,4,"Haynes",44.0299987792969,6.66499996185303
"89",1988,5,"Haynes",48.6800003051758,10.1700000762939
"90",1988,6,"Haynes",24.3899993896484,17.2749996185303
"91",1988,7,"Haynes",1.35000002384186,20.3700008392334
"92",1988,8,"Haynes",11.3000001907349,18.1749992370605
"93",1988,9,"Haynes",6.07999992370605,12.5200004577637
"94",1988,10,"Haynes",5.76999998092651,10.3999996185303
"95",1988,11,"Haynes",50.2200012207031,-2.5
"96",1988,12,"Haynes",11.1999998092651,-7.32500028610229
"97",1989,1,"Haynes",28.2700004577637,-6.77999973297119
"98",1989,2,"Haynes",20.6800003051758,-8.60000038146973
"99",1989,3,"Haynes",34.4799995422363,0.110000133514404
"100",1989,4,"Haynes",8.77000045776367,6.07000017166138
"101",1989,5,"Haynes",38.6100006103516,8.82500076293945
"102",1989,6,"Haynes",21.7299995422363,14.2049999237061
"103",1989,7,"Haynes",19.1200008392334,20.1100006103516
"104",1989,8,"Haynes",38.2999992370605,16.9449996948242
"105",1989,9,"Haynes",16.5599994659424,12.6549997329712
